ID_CANDIDATO;CENTRO_ESTUDIOS;ESPECIALIDAD;CONCLUIDO;EGRESADO
159294;UNIVERSIDAD SAN MARTÍN DE PORRES;MAESTRÍA EN DIRECCIÓN Y ADMINISTRACIÓN DE EMPRESAS;SI;
159535;UNIVERSIDAD CESAR VALLEJO;GESTIÓN PÚBLICA;SI;
159539;EXPEDIDA EN SANTANDER (ESPAÑA) UNIVERSIDAD EUROPEA DEL ATLÁNTICO;DIRECCIÓN ESTRATÉGICA ESPECIALIZADO EN ORGANIZACIONES DE SALUD;SI;SI
159746;UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO;MAESTRIA EN DERECHO DEL TRABAJO Y SEGURIDAD SOCIAL;;NO
160142;PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU;GERENCIA SOCIAL;;NO
160144;UNIVERSIDAD PRIVADA CESAR VALLEJO;GESTIÓN PUBLICA;SI;
160147;UNIVERSIDAD NACIONAL DE CAJAMARCA;DERECHO PENAL  Y CRIMINOLOGIA;SI;SI
159581;UNIVERSIDAD NACIONAL DE CAJAMARCA;DERECHO CONSTITUCIONAL Y DD.HH;;NO
159585;PONTIFICA UNIVERSIDAD CATOLICA DEL PERU;POLÍTICAS PUBLICAS Y GESTIÓN PUBLICA;;NO
159495;UNIVERSIDAD NACIONAL DE CAJAMARCA;GESTION AMBIENTAL;;NO
159496;UNIVERSIDAD NACIONAL PEDRO RUÍZ GALLO;DERECHO PENAL Y PROCESAL PENAL;;NO
160189;UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO;MAESTRIA EN CIENCIAS DE LA EDUCACION MENCION EN INVESTIGACION Y DOCENCIA;SI;SI
160190;UNIVERSIDAD CESAR VALLEJO;MAESTRIA Y DOCENCIA EN GESTION EDUCATIVA;SI;SI
161083;UNIVERSIDAD NACIONAL AGRARIA LA MOLINA;RECURSOS HIDRICOS;;NO
161084;UNIVERSIDAD CATOLICA DE SANTA MARIA DE AREQUIPA;MAESTRO EN DERECHO CONSTITUCIONAL;SI;SI
161086;UNIVERSIDAD SAN MARTIN DE PORRES;MAESTRIA EN GESTION PUBLICA;SI;SI
161086;UNIVERSIDAD SAN MARTIN DE PORRES;MAESTRIA EN GESTION PUBLICA;SI;SI
161087;UNIVERSIDAD DE LOS ESTUDIOS DE ROMA "LA SAPIENZA";TEORÍA DEL ESTADO E INSTITUCIONES POLÍTICAS COMPARADAS;SI;SI
157870;UNIVERSIDAD NACIONAL SAN ANTONIO DE ABAD DEL CUSCO;DOCTOR EN DERECHO;SI;SI
157872;UNIVERSIDAD SAN ANTONIO DE ABAD DE  CUSCO;MAESTRÍA EN POLÍTICAS Y GESTIÓN;SI;SI
157873;UNIVERSIDAD CATÓLICA SEDES SAPIENTIAE;ADMINISTRACIÓN PÚBLICA;SI;SI
158953;UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO;GESTION PUBLICA Y DESARROLLO REGIONAL;SI;
157968;UNIVERSIDAD NESTOR CACERES VELASQUEZ;DERECHO PENAL Y PROCESAL PENAL;SI;SI
